Respondent ID,Employee ID,Department,Age,Tenure,Gender,Location,Manager,Leadership Level,Why_Pride_1,Why_Pride_2,Why_Sense_1,Why_Sense_2,Why_Sense_3,Why_Meaningfulness_1,Why_Meaningfulness_2,Who_FaithLeadership_1,Who_FaithLeadership_2,Who_FaithLeadership_3,Who_trust_1,Who_trust_2,Who_trust_3,Who_Relationship_1,Who_Relationship_2,Who_Relationship_3,Who_Relationship_4,Who_Relationship_5,Who_Relationship_6,Who_Relationship_7,Who_SenseBelonging_1,How_SenseDirection_1,How_RoleClarity_1,How_LineSight_1,How_SystemTools_1,How_SystemTools_2,How_SystemTools_3,How_SystemTools_4,How_SenseProgress_1,What_WorkCulture_1,What_WorkCulture_2,What_WorkCulture_3,What_WorkCulture_4,What_WorkCulture_5,What_TalentDevelopment_1,What_TalentDevelopment_2,What_Recognition_1,What_CompensationBenefits_1,What_WorkLifeBalance_1,What_WorkLifeBalance_2,What_WorkLifeBalance_3,What_PsychologicalSafety_1,What_PsychologicalSafety_2,What_PsychologicalSafety_3,What_PsychologicalSafety_4,What_PsychologicalSafety_5,What_PsychologicalSafety_6,What_PsychologicalSafety_7,Outcome_Advocay_1,Outcome_DiscretionaryEffort_1,Outcome_IntentToStay_1
89,EMP1089,IT,28,5.8,Prefer not to say,Hyderabad,Naveed Iqbal,Team Lead,3,4,3,2,3,4,4,2,1,5,4,1,3,3,2,1,3,2,5,3,3,3,2,2,4,3,4,2,3,4,1,3,3,5,5,1,5,3,1,4,3,5,3,3,4,4,5,1,5,5,1
90,EMP1090,Operations,26,4.7,Male,Karachi,Usman Tariq,Manager,5,5,3,5,2,5,1,3,5,4,5,3,4,3,4,4,5,5,2,2,4,2,2,3,1,3,5,3,1,3,3,2,1,4,1,2,1,4,3,4,1,2,2,1,2,5,2,2,2,5,1
91,EMP1091,Legal,29,8.8,Male,Karachi,Hira Shah,Senior Manager,2,1,4,3,2,1,3,2,1,4,4,4,3,3,4,5,5,2,1,5,3,3,1,3,5,3,3,5,1,4,2,1,4,3,3,2,2,4,2,5,3,4,4,2,2,2,5,1,4,1,4
92,EMP1092,Marketing,26,4.0,Female,Rawalpindi,Hira Shah,Senior Individual Contributor,3,2,5,4,5,2,4,5,4,5,4,4,2,5,3,4,1,2,5,5,1,5,1,4,1,1,4,2,4,1,3,1,2,3,3,3,3,5,2,1,4,2,5,2,3,1,4,3,4,4,5
93,EMP1093,Customer Support,45,15.9,Male,Multan,Sana Rizvi,Senior Manager,1,2,1,2,2,3,4,5,4,2,1,2,3,2,3,4,5,1,3,2,2,1,2,5,4,4,1,5,3,5,5,1,5,2,2,1,4,4,3,2,3,5,1,2,2,5,4,5,5,2,3
94,EMP1094,Supply Chain,39,12.9,Prefer not to say,Faisalabad,Hassan Malik,Senior Manager,3,4,2,1,2,5,5,5,3,4,4,4,3,4,5,4,2,1,1,5,3,2,5,4,2,5,4,3,4,2,1,1,1,1,4,2,5,5,1,2,2,4,5,2,3,1,1,3,2,3,1
95,EMP1095,Legal,39,6.8,Female,Peshawar,Hira Shah,Manager,4,1,1,3,1,4,1,2,5,4,3,4,1,3,2,1,5,3,5,1,1,4,1,5,5,3,3,2,5,2,2,4,4,4,5,4,1,5,3,5,4,1,2,5,2,4,3,4,2,3,5
96,EMP1096,Operations,51,14.2,Male,Lahore,Usman Tariq,Senior Manager,5,4,2,5,5,3,1,3,2,2,4,3,1,4,1,5,3,1,1,5,2,1,1,5,4,3,5,1,2,5,1,3,4,1,3,3,3,4,4,2,5,4,4,5,1,3,2,1,2,2,1
97,EMP1097,Sales,53,5.3,Male,Lahore,Hamza Qureshi,Manager,3,4,3,2,4,5,1,1,4,5,2,4,2,5,3,2,2,4,4,4,5,4,4,1,3,3,3,1,1,2,3,5,5,4,5,1,5,1,5,1,1,3,1,2,1,1,2,1,2,2,3
98,EMP1098,IT,57,0.3,Prefer not to say,Karachi,Naveed Iqbal,Individual Contributor,1,2,5,3,1,1,1,5,3,5,1,1,1,4,4,4,5,5,5,5,1,4,1,5,1,2,2,5,4,3,4,5,4,2,2,2,3,1,3,5,3,4,3,5,1,2,4,5,3,1,2
99,EMP1099,R&D,57,19.0,Male,Hyderabad,Omar Farooq,Director,5,5,1,4,5,1,1,1,2,2,1,2,5,3,1,1,1,3,1,4,2,4,5,1,4,3,4,5,3,5,1,1,1,5,5,1,2,5,1,3,5,5,2,3,5,3,2,5,3,1,1
100,EMP1100,People & Culture,27,2.6,Female,Karachi,Mariam Siddiqui,Senior Individual Contributor,3,5,5,3,4,2,4,5,5,2,5,3,3,3,5,3,4,2,4,3,5,3,2,4,5,3,2,1,3,1,3,2,1,5,3,3,4,2,2,2,2,3,1,4,5,4,1,5,1,3,4
101,EMP1101,Supply Chain,55,8.6,Non-binary,Hyderabad,Hassan Malik,Senior Manager,5,2,1,1,1,5,1,5,4,1,1,1,2,1,1,3,5,3,3,5,4,3,1,2,2,4,5,5,5,4,4,5,2,4,3,5,2,1,4,1,5,3,3,4,3,1,4,1,2,1,1
102,EMP1102,R&D,39,6.4,Female,Multan,Omar Farooq,Team Lead,1,5,2,3,4,3,2,5,4,5,3,3,4,1,2,2,5,5,4,4,4,2,4,1,4,2,3,4,3,1,5,4,4,5,2,3,5,5,3,5,3,2,5,1,1,4,1,4,1,1,3
103,EMP1103,Supply Chain,33,2.9,Male,Lahore,Hassan Malik,Individual Contributor,3,2,5,2,2,5,2,4,5,1,2,2,5,1,1,1,4,3,3,3,2,5,4,4,3,5,3,1,4,1,2,2,2,1,2,1,3,4,5,1,3,5,5,1,4,3,1,4,3,1,4
104,EMP1104,Operations,40,5.0,Female,Karachi,Hassan Malik,Team Lead,4,1,3,3,5,2,5,1,2,3,1,1,4,2,1,4,1,2,3,5,5,4,2,2,4,1,4,5,4,2,2,3,3,2,1,3,5,5,5,3,1,5,4,2,3,1,1,2,3,3,1
105,EMP1105,People & Culture,25,3.9,Male,Karachi,Mariam Siddiqui,Senior Individual Contributor,3,5,1,2,1,5,4,2,1,4,4,1,3,5,3,5,2,3,2,3,4,3,1,3,5,1,1,1,1,2,3,2,5,1,2,3,5,3,4,2,3,1,1,1,1,2,1,2,3,5,4
106,EMP1106,People & Culture,58,7.1,Male,Lahore,Ayesha Khan,Manager,5,4,4,2,3,3,3,3,1,4,5,2,2,1,2,4,5,3,2,1,2,3,2,4,3,3,5,4,2,5,2,3,2,5,1,2,3,4,1,4,1,3,1,3,4,5,3,2,2,2,1
107,EMP1107,R&D,29,9.0,Female,Karachi,Sara Ahmed,Team Lead,1,4,1,1,1,3,1,1,1,5,3,1,4,3,2,3,1,1,4,3,5,4,2,5,1,3,4,5,4,3,3,4,5,2,4,1,1,3,1,2,2,3,2,5,4,2,4,3,2,5,3
108,EMP1108,Sales,58,23.7,Female,Karachi,Hamza Qureshi,Director,2,5,2,1,2,3,1,4,2,1,3,4,2,4,4,5,1,4,3,3,1,5,1,3,3,3,5,3,5,2,2,3,1,4,2,3,4,5,2,5,2,1,3,4,5,4,4,3,5,4,5
109,EMP1109,Legal,60,19.8,Female,Islamabad,Hira Shah,Director,4,5,1,3,5,4,2,3,2,1,3,3,2,2,3,1,3,3,5,4,2,4,4,4,3,2,3,3,5,4,5,2,3,3,5,3,4,4,1,1,5,1,4,3,1,4,1,2,5,2,2
110,EMP1110,IT,59,24.8,Female,Hyderabad,Sara Ahmed,Senior Manager,2,2,2,1,5,5,1,2,2,5,1,4,5,5,3,3,5,5,2,4,2,5,2,3,4,3,4,5,2,4,3,1,5,2,3,3,3,3,1,3,3,3,5,2,2,4,2,4,1,1,3
111,EMP1111,Operations,38,13.2,Female,Karachi,Hassan Malik,Manager,1,2,1,5,4,4,3,1,2,3,3,3,1,4,5,2,4,1,2,4,2,5,5,2,1,3,5,2,2,1,2,2,3,2,2,1,4,4,3,3,5,5,5,5,1,4,1,2,4,1,2
112,EMP1112,People & Culture,48,11.3,Male,Lahore,Ayesha Khan,Senior Manager,3,2,4,4,1,4,4,1,3,1,2,5,2,4,4,2,1,1,3,1,4,5,5,3,2,5,3,4,2,4,2,2,5,4,2,3,5,1,4,1,5,4,3,1,4,1,4,4,1,3,3
113,EMP1113,IT,51,1.8,Female,Lahore,Sara Ahmed,Senior Individual Contributor,4,5,1,3,5,1,3,1,3,1,3,4,5,4,3,3,5,1,3,2,3,1,4,3,1,5,4,1,2,2,1,5,4,1,3,2,2,5,1,1,2,4,3,5,2,3,4,1,2,2,3
114,EMP1114,Finance,56,5.6,Female,Lahore,Ali Raza,Senior Individual Contributor,5,4,4,4,1,5,1,1,3,3,3,5,3,4,5,2,1,4,3,1,1,5,4,2,3,2,4,2,1,3,3,4,4,1,5,4,2,4,5,5,5,1,2,2,3,1,4,4,3,1,4
115,EMP1115,People & Culture,32,11.1,Male,Rawalpindi,Mariam Siddiqui,Senior Manager,5,2,3,2,4,4,1,2,2,3,1,1,3,1,3,4,5,1,2,3,3,3,5,3,1,5,1,1,3,5,3,1,1,3,5,3,3,2,4,2,4,5,3,1,1,3,5,5,1,5,1
116,EMP1116,Finance,51,17.2,Male,Peshawar,Naveed Iqbal,Director,4,4,5,4,5,5,1,2,5,5,3,1,1,2,2,1,4,4,2,5,1,2,3,5,4,1,2,2,2,2,2,2,4,2,4,1,3,4,2,3,1,2,5,3,3,3,5,2,1,4,4
117,EMP1117,Finance,60,1.0,Female,Lahore,Naveed Iqbal,Individual Contributor,1,2,1,1,5,2,4,1,4,2,3,2,4,3,4,1,3,4,1,2,3,3,5,4,5,3,4,4,5,4,1,3,2,4,3,1,1,2,4,3,2,3,1,4,1,4,2,4,4,5,4
118,EMP1118,People & Culture,27,2.1,Male,Rawalpindi,Ayesha Khan,Senior Individual Contributor,1,5,4,4,2,2,2,1,4,3,5,3,4,4,4,4,4,5,5,4,2,1,3,3,1,5,2,1,1,3,2,2,1,4,1,5,5,2,2,2,4,3,5,3,1,4,1,5,1,2,5
119,EMP1119,Legal,24,4.6,Female,Islamabad,Hira Shah,Team Lead,2,5,3,3,2,4,2,3,3,5,2,1,1,1,2,2,1,4,2,1,2,2,3,3,4,5,5,1,5,5,2,2,3,2,5,4,4,2,5,3,2,2,4,3,1,1,1,5,2,3,5
120,EMP1120,Sales,59,10.9,Male,Peshawar,Omar Farooq,Senior Manager,2,5,1,3,4,1,4,2,3,4,3,4,5,1,5,1,5,2,2,3,1,4,2,5,5,3,3,3,5,2,2,3,4,3,2,4,1,4,3,2,5,2,5,5,3,3,3,3,5,1,4
121,EMP1121,Customer Support,43,8.0,Female,Karachi,Sana Rizvi,Senior Manager,3,5,5,5,1,4,3,2,1,2,3,2,5,1,3,5,1,3,3,1,1,2,1,2,3,1,4,3,1,5,2,1,3,1,1,5,3,2,2,5,4,2,2,4,2,5,2,1,4,3,5
122,EMP1122,R&D,40,14.6,Female,Faisalabad,Sara Ahmed,Senior Manager,4,3,3,4,1,4,4,5,3,2,1,2,2,5,1,1,3,1,3,1,5,5,3,2,3,3,4,2,2,1,2,2,4,3,4,5,2,4,2,2,5,1,5,2,3,4,4,5,2,3,2
123,EMP1123,Finance,42,6.1,Female,Faisalabad,Ali Raza,Senior Manager,4,2,5,4,2,2,3,4,1,4,5,5,2,1,3,3,1,5,3,2,5,1,3,1,2,3,2,2,4,1,1,2,1,1,3,5,4,1,2,3,2,5,1,2,3,4,2,4,4,3,2
124,EMP1124,Supply Chain,51,10.3,Female,Lahore,Hassan Malik,Director,1,3,5,5,4,2,1,4,5,3,3,1,5,1,3,5,3,4,4,1,2,4,3,5,2,3,2,1,4,3,1,3,4,5,4,2,3,1,3,4,5,5,2,5,1,4,5,1,5,4,4
125,EMP1125,R&D,25,1.4,Male,Peshawar,Omar Farooq,Individual Contributor,4,4,3,1,5,4,4,2,1,5,1,4,1,4,1,2,2,5,1,3,1,1,5,2,5,2,4,3,2,3,2,5,2,1,5,2,4,3,5,5,1,4,5,3,5,2,3,2,5,1,4
126,EMP1126,R&D,29,0.3,Male,Faisalabad,Sara Ahmed,Individual Contributor,5,3,2,5,3,1,3,3,3,1,5,4,1,1,1,4,3,2,1,3,2,2,1,2,1,3,3,2,5,1,4,4,3,4,4,4,4,5,5,5,1,1,3,1,2,4,4,3,4,4,5
127,EMP1127,IT,57,0.3,Female,Karachi,Sara Ahmed,Individual Contributor,3,1,2,5,2,2,1,5,2,4,1,1,3,3,4,4,3,5,2,5,5,3,2,2,2,4,1,1,2,3,5,5,4,5,2,2,5,3,3,2,2,1,3,5,1,1,3,4,5,3,1
128,EMP1128,R&D,29,7.1,Female,Peshawar,Omar Farooq,Senior Manager,3,1,1,5,4,3,1,5,5,2,3,3,1,5,5,1,4,3,2,3,5,5,3,2,3,5,2,4,4,4,4,5,2,3,1,4,5,2,3,4,3,4,4,1,5,1,2,1,1,3,1
129,EMP1129,IT,48,20.9,Non-binary,Karachi,Sara Ahmed,Director,5,2,4,5,5,2,5,3,4,3,1,3,5,3,4,3,5,4,3,1,1,5,2,4,3,1,3,4,2,5,4,4,2,1,4,4,2,4,4,1,3,4,1,2,1,2,4,4,3,3,1
130,EMP1130,Operations,60,12.7,Male,Rawalpindi,Usman Tariq,Senior Manager,1,4,5,4,3,5,3,1,5,2,2,1,5,5,4,3,1,1,5,4,4,5,4,3,4,5,4,1,1,2,4,2,5,3,3,5,3,1,3,3,5,1,5,2,2,1,5,1,4,3,3
131,EMP1131,Marketing,54,6.7,Female,Multan,Hira Shah,Team Lead,4,5,4,5,4,5,3,1,2,3,4,5,3,4,3,3,2,1,2,5,2,3,1,1,2,1,3,4,5,3,1,5,4,5,5,1,3,2,4,5,2,5,3,5,5,3,5,5,2,4,2
132,EMP1132,R&D,56,12.1,Female,Faisalabad,Omar Farooq,Senior Manager,5,1,2,1,5,4,5,4,1,2,1,3,1,5,1,4,3,1,3,4,3,5,2,1,4,5,5,5,2,2,2,2,4,4,1,2,4,3,4,5,4,5,2,3,4,4,3,2,3,1,1
133,EMP1133,Marketing,34,15.7,Female,Lahore,Hira Shah,Senior Manager,2,2,3,1,1,2,4,1,2,4,5,5,2,2,3,2,2,2,2,5,4,2,4,4,4,1,5,5,5,1,4,5,2,5,4,4,5,4,3,5,1,4,4,2,1,3,3,1,5,2,2
134,EMP1134,Marketing,52,17.6,Male,Lahore,Fatima Noor,Director,5,1,3,5,5,4,1,3,1,3,4,5,2,4,1,2,1,3,2,2,4,4,2,3,1,1,5,4,4,1,3,5,3,2,4,3,2,2,1,2,2,5,2,3,3,1,1,3,2,4,1
135,EMP1135,People & Culture,30,6.0,Male,Rawalpindi,Mariam Siddiqui,Team Lead,5,5,4,5,2,5,3,1,4,4,1,4,3,2,4,3,4,2,1,4,3,1,4,4,4,1,5,4,3,3,3,3,3,4,5,3,2,5,5,2,2,3,2,1,4,4,2,3,2,2,3
136,EMP1136,Supply Chain,51,0.4,Female,Rawalpindi,Usman Tariq,Individual Contributor,4,3,4,2,1,4,2,5,2,5,1,2,2,3,4,1,2,2,3,2,5,2,3,3,3,3,4,3,2,4,1,4,2,4,5,4,3,3,4,4,4,4,1,3,4,1,2,4,2,4,4
137,EMP1137,Finance,52,19.5,Female,Hyderabad,Naveed Iqbal,VP,2,1,3,1,5,5,3,5,2,2,1,3,5,1,5,4,2,5,5,1,5,5,4,5,5,2,1,1,1,3,2,1,3,1,1,2,4,5,2,4,2,2,5,1,2,2,1,5,2,5,3
138,EMP1138,Finance,43,21.3,Male,Lahore,Naveed Iqbal,VP,5,5,4,4,2,4,1,2,5,3,3,5,2,1,2,5,4,2,5,3,2,1,4,3,1,4,2,5,4,4,5,3,5,1,1,3,1,5,3,2,4,4,1,2,5,4,4,2,1,2,5
139,EMP1139,R&D,56,0.9,Female,Hyderabad,Omar Farooq,Individual Contributor,3,1,4,3,1,4,4,5,5,3,2,1,1,1,3,2,2,1,4,3,1,5,4,4,1,3,4,4,5,2,3,3,1,2,3,3,4,1,1,5,4,5,1,3,4,2,2,1,1,3,3
140,EMP1140,Operations,27,3.9,Female,Hyderabad,Hassan Malik,Team Lead,3,3,2,3,5,1,4,3,1,1,5,2,2,4,2,2,3,4,3,2,1,1,2,4,5,4,4,1,3,1,3,4,3,1,1,5,1,1,5,4,5,4,2,2,1,2,1,1,2,3,4
141,EMP1141,Sales,41,20.8,Female,Faisalabad,Omar Farooq,Director,4,3,5,1,1,3,3,2,1,4,5,5,5,5,4,1,1,1,5,2,2,2,2,2,4,4,1,4,5,5,1,3,1,5,3,1,5,3,5,4,3,4,5,2,3,5,2,3,5,4,1
142,EMP1142,Marketing,49,3.6,Male,Hyderabad,Fatima Noor,Senior Individual Contributor,2,2,4,2,2,3,4,3,3,1,2,1,5,5,4,5,5,3,1,4,4,4,3,5,3,5,3,2,3,4,3,2,4,1,5,2,4,3,4,3,2,3,5,4,1,1,3,5,3,5,1
143,EMP1143,Sales,27,5.5,Female,Multan,Omar Farooq,Manager,3,2,5,5,2,4,5,3,3,2,3,3,3,2,5,1,3,5,2,4,2,5,3,5,2,2,2,4,5,5,5,1,1,1,2,5,5,3,3,4,4,2,1,3,1,5,1,1,4,5,1
144,EMP1144,Sales,36,8.3,Female,Lahore,Bilal Hussain,Manager,5,1,4,1,4,2,3,4,1,3,5,4,5,5,3,1,1,3,4,2,2,4,5,1,2,4,2,4,4,4,3,5,4,3,2,4,3,3,3,3,2,5,3,2,2,1,5,4,2,3,4
145,EMP1145,IT,56,3.9,Female,Lahore,Naveed Iqbal,Manager,5,2,4,4,2,1,4,3,1,4,1,4,4,1,4,3,5,2,5,5,2,3,5,4,4,1,5,3,5,2,3,3,5,3,5,1,5,4,4,1,1,5,3,5,4,1,5,5,5,5,5
146,EMP1146,Customer Support,38,9.1,Female,Peshawar,Sana Rizvi,Team Lead,4,3,1,3,4,4,1,1,5,4,3,5,3,1,1,3,1,4,4,4,2,1,1,4,4,2,3,3,2,1,1,2,5,1,1,5,4,1,4,3,1,5,4,3,5,3,2,4,5,3,3
147,EMP1147,Operations,46,14.3,Male,Peshawar,Usman Tariq,Manager,5,3,3,3,5,3,1,2,2,4,2,1,1,5,3,2,3,4,4,3,4,2,3,2,2,1,1,3,3,1,1,2,4,2,3,3,5,4,3,2,3,1,4,1,5,2,4,1,2,5,3
148,EMP1148,Customer Support,39,0.2,Male,Faisalabad,Zainab Ali,Individual Contributor,4,3,2,2,4,3,4,2,4,4,4,2,4,2,5,2,3,1,2,3,2,1,2,4,3,1,2,2,1,5,4,3,3,4,4,3,4,4,1,1,3,4,1,5,3,2,1,1,3,4,2
149,EMP1149,Legal,53,20.8,Prefer not to say,Faisalabad,Iqra Abbas,VP,5,4,2,3,3,4,3,1,1,4,4,1,5,5,4,2,3,2,4,1,2,5,4,3,3,4,3,3,4,4,4,5,1,4,4,1,1,4,2,2,3,4,2,1,1,2,3,3,2,4,4
150,EMP1150,Marketing,36,11.5,Male,Multan,Fatima Noor,Director,1,4,3,2,2,1,3,4,2,3,4,4,4,4,2,1,4,2,3,4,3,5,1,2,1,4,4,1,4,3,3,3,4,1,4,4,2,3,2,2,4,5,3,4,1,4,4,5,1,2,2
